pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,raterecovered
11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,4/1/2020,,21,0,0,21,551,513,3,14.29,3452,3214,0,0,13.16,0,0,0,0,0,2,85.71,18,11.28,20,12.53,0,0,16,10.02,0,0,2,1.43,0,0,1.25
60,Yukon,Yukon,4/1/2020,,5,0,0,5,722,614,3,60,17169,14601,0,0,11.89,0,0,0,20,73,3,40,2,4.76,5,11.89,0,0,2,4.76,0,0,0,0.68,0,0,7.13
61,Northwest Territories,Territoires du Nord-Ouest,4/1/2020,,2,0,0,2,951,875,,,21058,19375,1,100,4.43,0,0,0,143,77,,100,2,4.43,2,4.43,0,0,1,2.21,0,0,0,0.32,0,0,0
62,Nunavut,Nunavut,4/1/2020,,0,0,0,0,183,97,,,4650,2465,0,0,0,0,0,,16,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriÃ©s,4/1/2020,,13,0,0,13,76,48,12,92.31,,,0,0,,,0,0,0,0,0,7.69,1,,4,,0,,0,,0,,0,,0,,
1,Canada,Canada,4/1/2020,,9595,18,109,9613,256009,192339,1553,16.16,6736,5061,1065,12.46,25.29,0.29,13,1.13,14795,14021,299,82.71,7951,20.92,9016,23.72,100,0.26,6204,16.32,74,0.19,886,2.33,11,0.03,0.79
59,British Columbia,Colombie-Britannique,4/2/2020,,1121,0,31,1121,36966,42799,641,57.18,7181,8314,55,5.16,21.78,0.6,6,2.77,602,1089,35,40.05,449,8.72,850,16.51,23,0.45,396,7.69,17,0.33,57,1.1,2,0.05,0.68
48,Alberta,Alberta,4/2/2020,,968,0,13,968,57096,52417,174,17.98,12912,11854,214,28.38,21.89,0.29,4,1.34,3955,4771,32,80.68,781,17.66,822,18.59,12,0.27,482,10.9,11,0.25,69,1.56,2,0.04,0.72
47,Saskatchewan,Saskatchewan,4/2/2020,,206,0,3,206,11034,9612,36,17.48,9361,8155,13,6.74,17.48,0.25,0,1.46,832,402,6,81.07,167,14.17,186,15.78,3,0.25,111,9.42,3,0.25,16,1.35,0,0.04,0.51
46,Manitoba,Manitoba,4/2/2020,,152,15,1,167,11098,9814,11,6.59,8046,7115,40,31.5,12.11,0.07,0,0.6,1287,1110,7,92.81,155,11.24,150,10.88,1,0.07,131,9.5,1,0.07,19,1.36,0,0.01,0.51
35,Ontario,Ontario,4/2/2020,,2793,0,53,2793,64785,0,831,29.75,4397,,401,16.76,18.96,0.36,16,1.9,3776,0,142,68.35,1909,12.96,2535,17.21,51,0.35,1935,13.13,38,0.26,276,1.88,5,0.04,0.96
24,Quebec,QuÃ©bec,4/2/2020,,5518,0,36,5518,74542,76378,224,4.06,8693,8908,907,19.67,64.35,0.42,3,0.65,4831,7259,195,95.29,5258,61.32,5397,62.94,35,0.41,3889,45.36,28,0.33,556,6.48,4,0.05,2.27
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4/2/2020,,183,0,1,183,2904,4109,10,5.46,5562,7870,8,4.57,35.05,0.19,0,0.55,142,297,0,93.99,172,32.94,180,34.48,1,0.19,101,19.34,1,0.19,14,2.76,0,0.03,0
13,New Brunswick,Nouveau-Brunswick,4/2/2020,,91,0,0,91,4625,4415,22,24.18,5918,5650,10,12.35,11.64,0,0,0,504,447,8,75.82,69,8.83,80,10.24,0,0,58,7.42,0,0,8,1.06,0,0,1.02
12,Nova Scotia,Nouvelle-Ã‰cosse,4/2/2020,,193,0,0,193,8059,6898,16,8.29,8229,7043,20,11.56,19.71,0,0,0,654,875,5,91.71,177,18.07,179,18.28,0,0,120,12.25,0,0,17,1.75,0,0,0.51
11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,4/2/2020,,22,0,0,22,653,587,3,13.64,4091,3677,1,4.76,13.78,0,0,0,102,74,0,86.36,19,11.9,20,12.53,0,0,13,8.14,0,0,2,1.16,0,0,0
60,Yukon,Yukon,4/2/2020,,6,0,0,6,742,640,3,50,17645,15219,1,20,14.27,0,0,0,20,26,0,50,3,7.13,6,14.27,0,0,3,7.13,0,0,0,1.02,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,4/2/2020,,2,0,0,2,969,946,,,21457,20947,0,0,4.43,0,0,0,18,71,,100,2,4.43,2,4.43,0,0,1,2.21,0,0,0,0.32,0,0,0
62,Nunavut,Nunavut,4/2/2020,,0,0,0,0,193,97,,,4904,2465,0,0,0,0,0,,10,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriÃ©s,4/2/2020,,13,0,0,13,76,48,12,92.31,,,0,0,,,0,0,0,0,0,7.69,1,,3,,0,,0,,0,,0,,0,,
1,Canada,Canada,4/2/2020,,11268,15,138,11283,273742,208760,1983,17.58,7203,5493,1670,17.37,29.69,0.36,29,1.22,17733,16421,430,81.2,9162,24.11,10410,27.39,126,0.33,7240,19.05,99,0.26,1034,2.72,14,0.04,1.13
59,British Columbia,Colombie-Britannique,4/3/2020,,1174,0,35,1174,39926,43986,641,54.6,7756,8545,53,4.73,22.81,0.68,4,2.98,2960,1187,0,42.42,498,9.67,903,17.54,26,0.51,449,8.72,21,0.41,64,1.25,3,0.06,0
48,Alberta,Alberta,4/3/2020,,1075,0,18,1075,60508,56027,,,13684,12670,107,11.05,24.31,0.41,5,1.67,3412,3610,,98.33,1057,23.9,880,19.9,17,0.38,533,12.05,16,0.36,76,1.72,2,0.05,0
47,Saskatchewan,Saskatchewan,4/3/2020,,220,0,3,220,11720,10479,,,9943,8890,14,6.8,18.66,0.25,0,1.36,686,867,,98.64,217,18.41,194,16.46,3,0.25,116,9.84,3,0.25,17,1.41,0,0.04,0
46,Manitoba,Manitoba,4/3/2020,,164,18,2,182,11650,11108,,,8447,8054,15,8.98,13.2,0.15,1,1.1,552,1294,,98.9,180,13.05,165,11.96,2,0.15,143,10.37,1,0.07,20,1.48,0,0.01,0
35,Ontario,Ontario,4/3/2020,,3255,0,67,3255,67998,0,,,4615,,462,16.54,22.09,0.45,14,2.06,3213,0,,97.94,3188,21.64,2944,19.98,65,0.44,2262,15.35,49,0.33,323,2.19,7,0.05,0
